"name","pop","location"
"Shakhty","221312","https://www.google.com/maps/?q=47.7091,40.2144"
"Blagoveshchensk","221296","https://www.google.com/maps/?q=50.2796,127.54"
"Prokop'yevsk","219000","https://www.google.com/maps/?q=53.9059,86.719"
"Rybinsk","216724","https://www.google.com/maps/?q=58.0446,38.8426"
"Vykhino-Zhulebino","216000","https://www.google.com/maps/?q=55.702,37.8118"
"Zelenograd","215727","https://www.google.com/maps/?q=55.9825,37.1814"
"Biysk","215430","https://www.google.com/maps/?q=52.5364,85.2072"
"Velikiy Novgorod","215062","https://www.google.com/maps/?q=58.5213,31.271"
"Centralniy","214625","https://www.google.com/maps/?q=59.9311,30.3607"
"Vasyl'evsky Ostrov","203058","https://www.google.com/maps/?q=59.9409,30.2538"
"Pskov","201990","https://www.google.com/maps/?q=57.8136,28.3496"
"Severnyy","200000","https://www.google.com/maps/?q=55.9358,37.5489"
"Balakovo","199572","https://www.google.com/maps/?q=52.0278,47.8007"
"Armavir","199548","https://www.google.com/maps/?q=44.9892,41.1234"
"Engel's","196011","https://www.google.com/maps/?q=51.4839,46.1053"
"Severodvinsk","194292","https://www.google.com/maps/?q=64.5635,39.8302"
"Zlatoust","191366","https://www.google.com/maps/?q=55.1711,59.6508"
"Syzran'","189338","https://www.google.com/maps/?q=53.1585,48.4681"
"Petropavlovsk-Kamchatsky","187282","https://www.google.com/maps/?q=53.0444,158.651"
"Korolyov","183402","https://www.google.com/maps/?q=55.9173,37.8179"
"Kamensk-Ural'skiy","182500","https://www.google.com/maps/?q=56.4185,61.9329"
"Yasenevo","180000","https://www.google.com/maps/?q=55.6069,37.5199"
"Podolsk","179400","https://www.google.com/maps/?q=55.4242,37.5547"
"Yuzhno-Sakhalinsk","176484","https://www.google.com/maps/?q=46.9541,142.736"
"Lyublino","172000","https://www.google.com/maps/?q=55.6774,37.7601"
"Berezniki","167748","https://www.google.com/maps/?q=59.4091,56.8204"
"Volgodonsk","167731","https://www.google.com/maps/?q=47.5136,42.1514"
"Miass","167500","https://www.google.com/maps/?q=55.045,60.1083"
"Abakan","167289","https://www.google.com/maps/?q=53.7156,91.4292"
"Novocherkassk","166974","https://www.google.com/maps/?q=47.421,40.0919"
"Nazran'","164131","https://www.google.com/maps/?q=43.226,44.7732"
"Rubtsovsk","161065","https://www.google.com/maps/?q=51.5147,81.2061"
"Mytishchi","160542","https://www.google.com/maps/?q=55.9116,37.7308"
"Salavat","159893","https://www.google.com/maps/?q=53.3837,55.9077"
"Bibirevo","159000","https://www.google.com/maps/?q=55.8833,37.6"
"Khoroshevo-Mnevniki","159000","https://www.google.com/maps/?q=55.7836,37.4714"
"Gol'yanovo","158000","https://www.google.com/maps/?q=55.823,37.8131"
"Admiralteisky","157897","https://www.google.com/maps/?q=59.9084,30.2848"
"Ussuriysk","157068","https://www.google.com/maps/?q=43.8029,131.946"
"Lyubertsy","154650","https://www.google.com/maps/?q=55.6772,37.8932"
"Kovrov","154224","https://www.google.com/maps/?q=56.3572,41.3192"
"Strogino","152000","https://www.google.com/maps/?q=55.8184,37.4122"
"Balashikha","150103","https://www.google.com/maps/?q=55.8094,37.9581"
"Zhulebino","150000","https://www.google.com/maps/?q=55.7,37.85"
"Kolomna","147690","https://www.google.com/maps/?q=55.0794,38.7783"
"Nakhodka","146920","https://www.google.com/maps/?q=42.8138,132.873"
"Elektrostal'","144387","https://www.google.com/maps/?q=55.7896,38.4467"
"Maykop","144055","https://www.google.com/maps/?q=44.6078,40.1058"
"Orekhovo-Borisovo","144000","https://www.google.com/maps/?q=55.6125,37.7264"
"Biryulevo","144000","https://www.google.com/maps/?q=55.5863,37.6778"
"Kuz'minki","143000","https://www.google.com/maps/?q=55.7,37.8"
"Novyye Kuz'minki","143000","https://www.google.com/maps/?q=55.7,37.75"
"Pyatigorsk","142865","https://www.google.com/maps/?q=44.0486,43.0594"
"Chertanovo Yuzhnoye","142000","https://www.google.com/maps/?q=55.5907,37.5952"
"Zheleznodorozhnyy","141648","https://www.google.com/maps/?q=55.744,38.0168"
"Norilsk","140800","https://www.google.com/maps/?q=69.3535,88.2027"
"Al'met'yevsk","140437","https://www.google.com/maps/?q=54.9044,52.3154"
"Korolev","139798","https://www.google.com/maps/?q=55.9142,37.8256"
"Kolpino","138979","https://www.google.com/maps/?q=59.7507,30.5886"
"Odintsovo","137041","https://www.google.com/maps/?q=55.678,37.2777"
"Nevinnomyssk","134345","https://www.google.com/maps/?q=44.6333,41.9444"
"Pervoural'sk","133600","https://www.google.com/maps/?q=56.9053,59.9436"
"Kislovodsk","132771","https://www.google.com/maps/?q=43.9133,42.7208"
"Dimitrovgrad","132226","https://www.google.com/maps/?q=54.2139,49.6184"
"Novomoskovsk","130982","https://www.google.com/maps/?q=54.0105,38.2846"
"Petrogradka","130455","https://www.google.com/maps/?q=59.9657,30.3115"
"Ramenki","130000","https://www.google.com/maps/?q=55.7,37.5"
"Zyablikovo","129000","https://www.google.com/maps/?q=55.6167,37.7667"
"Kamyshin","128626","https://www.google.com/maps/?q=50.0983,45.416"
"Novocheboksarsk","128468","https://www.google.com/maps/?q=56.111,47.4776"
"Serpukhov","128158","https://www.google.com/maps/?q=54.9158,37.4111"
"Ivanovskoye","128000","https://www.google.com/maps/?q=55.7667,37.8333"
"Orekhovo-Borisovo Severnoye","128000","https://www.google.com/maps/?q=55.6167,37.6833"
"Murom","126931","https://www.google.com/maps/?q=55.575,42.0426"
"Khasavyurt","126829","https://www.google.com/maps/?q=43.2509,46.5877"
"Neftekamsk","126805","https://www.google.com/maps/?q=56.092,54.2661"
"Tyoply Stan","125000","https://www.google.com/maps/?q=55.6205,37.4934"
"Tsaritsyno","123000","https://www.google.com/maps/?q=55.6254,37.6503"
"Presnenskiy","122000","https://www.google.com/maps/?q=55.75,37.55"
"Veshnyaki","122000","https://www.google.com/maps/?q=55.7239,37.8195"
"Zyuzino","121000","https://www.google.com/maps/?q=55.6561,37.5685"
"Orekhovo-Zuyevo","120000","https://www.google.com/maps/?q=55.8067,38.9618"
"Solntsevo","120000","https://www.google.com/maps/?q=55.6371,37.3811"
"Troparevo","118000","https://www.google.com/maps/?q=55.6562,37.485"
"Achinsk","117634","https://www.google.com/maps/?q=56.2694,90.4993"
"Cherkessk","116224","https://www.google.com/maps/?q=44.2233,42.0578"
"Taganskiy","116000","https://www.google.com/maps/?q=55.7333,37.6667"
"Noginsk","115979","https://www.google.com/maps/?q=55.8665,38.4438"
"Yelets","115688","https://www.google.com/maps/?q=52.6237,38.5017"
"Novo-Peredelkino","115536","https://www.google.com/maps/?q=55.6453,37.3358"
"Ochakovo-Matveyevskoye","114000","https://www.google.com/maps/?q=55.6843,37.4465"
"Tobol'sk","113800","https://www.google.com/maps/?q=58.1981,68.2546"
"Shchelkovo","113000","https://www.google.com/maps/?q=55.925,37.9722"
"Nefteyugansk","112632","https://www.google.com/maps/?q=61.0998,72.6035"
"Novokuybyshevsk","111800","https://www.google.com/maps/?q=53.0959,49.9462"
"Noyabrsk","110000","https://www.google.com/maps/?q=63.1931,75.4373"
"Bataysk","109962","https://www.google.com/maps/?q=47.1398,39.7518"
"Seversk","109844","https://www.google.com/maps/?q=56.6006,84.8864"
"Arzamas","109479","https://www.google.com/maps/?q=55.3949,43.8399"
"Sergiyev Posad","109252","https://www.google.com/maps/?q=56.3,38.1333"
"Leninsk-Kuznetsky","109023","https://www.google.com/maps/?q=54.6567,86.1737"
"Kyzyl","108240","https://www.google.com/maps/?q=51.7147,94.4534"
"Oktyabr'skiy","108200","https://www.google.com/maps/?q=54.4815,53.471"
"Obninsk","107392","https://www.google.com/maps/?q=55.0968,36.6101"
"Elista","106971","https://www.google.com/maps/?q=46.3078,44.2558"
"Cheremushki","106587","https://www.google.com/maps/?q=55.6647,37.5614"
"Novotroitsk","106186","https://www.google.com/maps/?q=51.203,58.3266"
"Derbent","105965","https://www.google.com/maps/?q=42.0678,48.2899"
"Kiselevsk","104000","https://www.google.com/maps/?q=53.99,86.6621"
"Izmaylovo","104000","https://www.google.com/maps/?q=55.7868,37.8017"
"Akademicheskoe","103304","https://www.google.com/maps/?q=60.0137,30.3947"
"Velikiye Luki","103149","https://www.google.com/maps/?q=56.34,30.5452"
"Bogorodskoye","103000","https://www.google.com/maps/?q=55.8135,37.7162"
"Pushkino","102816","https://www.google.com/maps/?q=56.0172,37.8667"
